,timestamp,course,motivated_required,motivated_staycurrenttech,motivated_advancecareer,motivated_changecareer,motivated_developprofession,motivated_jobdisplacement,motivated_relocation,motivated_itcert,motivated_financial,motivated_enrichment,motivated_curiosity,participated_openhouse,participated_instantdecision,participated_oncampusinfo,participated_virtualinfo,participated_womenwhodare,participated_collegefair,experienced_compclass,experienced_compclub,experienced_compcompetition,experienced_compcampschool,experienced_compcampsummer,experienced_compclassap,experienced_compclassdual,experienced_familyfriendinfluence,experienced_familyfriendinfield,experienced_hsstaff,experienced_employerinfluence,heard_ccmwebsite,heard_billboard,heard_television,heard_radio,heard_socialmedia,heard_event,heard_familyfriend,heard_employer,heard_ccmstudent,heard_ccmalumni,heard_highschool,decision_cost,decision_convenience,decision_programs,decision_online,decision_referral,decision_faculty,decision_reputation,decision_scholarships,decision_transfer,decision_classsize,decision_opportunities,program,informed_hscounselor,informed_ccmwebsite,informed_ccmadmissions,informed_ccmcounselor,informed_employer,informed_other,gender,ethnicity,age
79,2020/09/16 1:11:49 AM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Yes,No,No,No,No,No,No,No,No,No,No,No Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,Radiography;Nursing,No,No,No,No,No,Yes,Woman,White/Caucasian,35-64
80,2020/09/16 2:45:08 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,Not Sure,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Physical Education ,No,No,Yes,Yes,No,No,Woman,White/Caucasian,18 and younger
81,2020/09/16 3:45:31 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Public Health,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Woman,White/Caucasian,19-20
82,2020/09/16 4:38:34 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,Child and Family Studies,No,No,No,Yes,No,No,Woman,Hispanic or Latino,21-24
83,2020/09/16 7:10:19 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Exercise Science,No,No,No,Yes,No,No,Woman,White/Caucasian,35-64
84,2020/09/17 5:05:03 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,High Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Exercise Science,No,No,Don't recall,Yes,No,Don't recall,Woman,White/Caucasian,19-20
85,2020/09/17 5:10:06 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Some Impact,No Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,Exercise Science,No,No,No,Yes,No,Don't recall,Woman,White/Caucasian,19-20
86,2020/09/17 5:11:59 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,Yes,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Man,White/Caucasian,65+
87,2020/09/18 11:03:02 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Criminal Justice,No,No,No,No,No,No,Man,Hispanic or Latino,19-20
88,2020/09/18 4:15:34 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Radiography,No,Don't recall,Don't recall,Yes,No,No,Woman,Hispanic or Latino,21-24
89,2020/09/19 7:53:37 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Culinary arts and science ,No,No,No,No,No,Yes,Woman,White/Caucasian,19-20
90,2020/09/19 10:19:13 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Nursing,No,No,No,No,No,No,Woman,White/Caucasian,35-64
91,2020/09/20 9:47:05 AM EST,CMP 126 Computer Technology and Applications,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Broadcasting Arts and Technology,No,Yes,Yes,Yes,No,No,Man,White/Caucasian,21-24
92,2020/09/20 1:41:15 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,Yes,Not Sure,Yes,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,Some Impact,Radiography,Yes,Don't recall,Yes,Yes,No,No,Woman,Multi-Racial,19-20
93,2020/09/20 4:53:42 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,Biology,No,Yes,Yes,No,No,No,Woman,White/Caucasian,21-24
94,2020/09/20 5:57:19 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Radiography,No,No,No,No,No,No,Woman,Hispanic or Latino,19-20
95,2020/09/20 10:35:45 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Journalism,No,No,Yes,Yes,No,No,Woman,White/Caucasian,19-20
96,2020/09/20 11:00:38 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,Don't recall,No,No,Don't recall,No,No,Man,Hispanic or Latino;Multi-Racial,19-20
97,2020/09/20 11:21:11 PM EST,CMP 101 Computer Information Literacy,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Nursing,No,No,Yes,Yes,No,No,Prefer not to say,Choose not to reply,19-20
98,2020/09/20 11:27:33 PM EST,CMP 101 Computer Information Literacy,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Nursing,No,No,Yes,Yes,Don't recall,Don't recall,Prefer not to say,Choose not to reply,19-20
99,2020/09/21 5:52:41 AM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Not in a degree program,Yes,No,No,No,No,Yes,Woman,White/Caucasian,18 and younger
100,2020/09/21 8:20:33 AM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Nursing,No,No,No,No,No,No,Woman,White/Caucasian,25-34
101,2020/09/21 8:21:10 AM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Nursing,No,No,No,No,No,No,Woman,White/Caucasian,25-34
102,2020/09/21 8:55:06 AM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,Nursing,No,No,No,No,No,No,Woman,White/Caucasian,21-24
103,2020/09/21 9:26:32 AM EST,CMP 126 Computer Technology and Applications,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Not Sure,Not Sure,Not Sure,Not Sure,No,Not Sure,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Not in a degree program,No,Don't recall,Don't recall,No,No,Yes,Prefer not to say,Choose not to reply,25-34
104,2020/09/21 9:43:32 AM EST,CMP 126 Computer Technology and Applications,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,Business Administration,No,Yes,No,No,No,No,Man,White/Caucasian,19-20
105,2020/09/21 10:08:31 AM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,Yes,No,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,Don't recall,Yes,Yes,No,No,No,Woman,White/Caucasian,18 and younger
106,2020/09/21 10:08:46 AM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,Yes,No,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,Don't recall,Yes,Yes,No,No,No,Woman,White/Caucasian,18 and younger
107,2020/09/21 1:09:00 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Nursing,No,No,Yes,No,No,No,Man,Hispanic or Latino,21-24
108,2020/09/21 1:19:38 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,No,No,No,No,No,No,Man,Multi-Racial,19-20
109,2020/09/21 3:02:25 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Radiography,No,Don't recall,No,Yes,No,No,Woman,White/Caucasian,21-24
110,2020/09/21 5:16:27 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Yes,No,No,No,No,No,No,No,Yes,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,No,Yes,Yes,No,No,Woman,White/Caucasian,21-24
111,2020/09/21 6:07:01 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Not Sure,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Early Childhood Education;Child and Family Studies,Don't recall,Don't recall,No,No,Don't recall,Don't recall,Woman,Hispanic or Latino,21-24
112,2020/09/21 6:18:00 PM EST,CMP 135 Computer Concepts with Applications,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Public Health,No,No,No,Yes,No,No,Woman,Asian;White/Caucasian,19-20
113,2020/09/21 7:13:07 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Radiography,No,No,Yes,Yes,No,No,Woman,Hispanic or Latino,21-24
114,2020/09/21 7:14:28 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,Yes,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Exercise Science,No,No,No,No,No,No,Man,White/Caucasian,19-20
115,2020/09/21 7:20:16 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,No,No,No,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Radiography,No,Yes,Yes,No,No,Don't recall,Man,White/Caucasian,19-20
116,2020/09/21 7:27:02 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,No,No,No,No,No,No,Man,White/Caucasian,21-24
117,2020/09/21 7:30:20 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,Early Childhood Education,No,No,No,No,No,No,Woman,White/Caucasian,19-20
118,2020/09/21 7:32:35 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,Criminal Justice,Yes,No,No,No,No,No,Woman,Hispanic or Latino,19-20
119,2020/09/21 7:32:38 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Music Technology,No,No,No,No,No,No,Man,Black/African American;White/Caucasian;Multi-Racial,19-20
120,2020/09/21 7:32:46 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Criminal Justice,No,No,No,No,No,No,Woman,Hispanic or Latino;White/Caucasian,21-24
121,2020/09/21 7:33:26 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,Some Impact,Some Impact,biology,No,No,No,Yes,No,No,Woman,Black/African American,19-20
122,2020/09/21 7:33:58 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,Criminal Justice,No,Yes,Yes,Yes,No,Yes,Woman,White/Caucasian,21-24
123,2020/09/21 7:34:03 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Not Sure,No,Not Sure,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Criminal Justice,No,No,No,No,No,No,Woman,White/Caucasian,19-20
124,2020/09/21 7:34:23 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Early Childhood Education,No,No,No,No,No,No,Woman,White/Caucasian,25-34
125,2020/09/21 7:34:33 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,Yes,Yes,Yes,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Nursing,No,No,Yes,Yes,No,No,Woman,Black/African American,35-64
126,2020/09/21 7:35:05 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Exercise Science,No,No,No,Yes,No,No,Man,White/Caucasian,25-34
127,2020/09/21 7:38:01 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,Yes,Yes,Yes,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Nursing,No,No,Yes,Yes,No,No,Woman,Black/African American,35-64
128,2020/09/21 7:41:36 PM EST,CMP 135 Computer Concepts with Applications,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Not Sure,Not Sure,Not Sure,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Exercise Science,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Woman,Hispanic or Latino,19-20
129,2020/09/21 7:42:29 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Music Technology,No,No,Yes,No,No,Yes,Woman,Asian,21-24
130,2020/09/21 8:27:53 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,High Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,Early Childhood Education,Yes,No,Yes,Yes,No,No,Woman,White/Caucasian,18 and younger
