,timestamp,course,motivated_required,motivated_staycurrenttech,motivated_advancecareer,motivated_changecareer,motivated_developprofession,motivated_jobdisplacement,motivated_relocation,motivated_itcert,motivated_financial,motivated_enrichment,motivated_curiosity,participated_openhouse,participated_instantdecision,participated_oncampusinfo,participated_virtualinfo,participated_womenwhodare,participated_collegefair,experienced_compclass,experienced_compclub,experienced_compcompetition,experienced_compcampschool,experienced_compcampsummer,experienced_compclassap,experienced_compclassdual,experienced_familyfriendinfluence,experienced_familyfriendinfield,experienced_hsstaff,experienced_employerinfluence,heard_ccmwebsite,heard_billboard,heard_television,heard_radio,heard_socialmedia,heard_event,heard_familyfriend,heard_employer,heard_ccmstudent,heard_ccmalumni,heard_highschool,decision_cost,decision_convenience,decision_programs,decision_online,decision_referral,decision_faculty,decision_reputation,decision_scholarships,decision_transfer,decision_classsize,decision_opportunities,program,informed_hscounselor,informed_ccmwebsite,informed_ccmadmissions,informed_ccmcounselor,informed_employer,informed_other,gender,ethnicity,age
48,2020/09/11 2:17:36 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Liberal Arts,No,No,No,No,No,No,Woman,White/Caucasian,19-20
49,2020/09/11 5:45:10 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Liberal Arts & Sciences,No,No,No,No,No,No,Man,White/Caucasian,19-20
50,2020/09/12 4:52:43 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,30 College credit program,No,No,Yes,Yes,No,No,Man,White/Caucasian,21-24
51,2020/09/12 5:22:41 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Journalism,No,No,No,Don't recall,Don't recall,Don't recall,Man,White/Caucasian,19-20
52,2020/09/12 6:55:43 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Child and Family Studies,No,No,Yes,Yes,No,No,Prefer not to say,Hispanic or Latino,19-20
53,2020/09/12 8:16:56 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Math education ,No,No,No,No,No,No,Woman,White/Caucasian,18 and younger
54,2020/09/13 6:38:40 AM EST,CMP 126 Computer Technology and Applications,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Yes,Yes,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Humanities,No,No,No,Yes,No,No,Man,White/Caucasian,19-20
55,2020/09/13 12:35:58 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Nursing,No,No,No,Yes,Yes,Yes,Woman,White/Caucasian,21-24
56,2020/09/13 3:13:27 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Psychology ,No,No,No,No,No,Yes,Woman,White/Caucasian,21-24
57,2020/09/13 6:38:03 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,Not Sure,Not Sure,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,No,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Liberal Arts,No,No,Yes,No,No,No,Man,Black/African American,19-20
58,2020/09/13 7:48:18 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,liberal arts/humanitites,No,No,No,No,No,Yes,Woman,White/Caucasian,19-20
59,2020/09/13 7:59:00 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Criminal Justice,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Man,White/Caucasian,25-34
60,2020/09/13 9:46:15 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Exercise Science,No,No,No,Yes,No,No,Man,Hispanic or Latino,19-20
61,2020/09/14 10:26:46 AM EST,CMP 101 Computer Information Literacy,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Criminal Justice,No,No,No,No,No,No,Man,White/Caucasian,19-20
62,2020/09/14 11:21:19 AM EST,CMP 101 Computer Information Literacy,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,Biology,No,No,Yes,No,No,No,Woman,White/Caucasian,21-24
63,2020/09/14 10:17:29 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,Yes,No,No,No,No,No,Man,Hispanic or Latino,19-20
64,2020/09/15 9:42:37 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Some Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,Criminal Justice,No,No,No,No,No,No,Woman,White/Caucasian,19-20
65,2020/09/15 11:11:35 AM EST,CMP 135 Computer Concepts with Applications,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Not Sure,Not Sure,Not Sure,Yes,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Music Technology,Don't recall,Don't recall,Yes,Yes,No,Don't recall,Man,White/Caucasian,19-20
66,2020/09/15 11:20:44 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Criminal Justice,No,Don't recall,Don't recall,Don't recall,No,No,Woman,White/Caucasian,19-20
67,2020/09/15 11:22:04 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Culinary Arts and Science ,No,No,No,No,No,Yes,Woman,White/Caucasian,19-20
68,2020/09/15 11:34:10 AM EST,CMP 101 Computer Information Literacy,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Criminal Justice,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Man,White/Caucasian,19-20
