,timestamp,course,heard_ccmwebsite,heard_socialmedia,heard_event,heard_familyfriend,heard_ccmstudent,heard_ccmalumni,heard_hsteacher,heard_hscounselor,heard_appadvert,heard_employer,heard_billboard,heard_television,heard_radio,heard_other,decision_cost,decision_convenience,decision_programs,decision_online,decision_referral,decision_faculty,decision_reputation,decision_finaid,decision_scholarships,decision_classsize,decision_opportunities,decision_acceptcredits,decision_negexperienceelsewhere,decision_njstars,decision_transfercredits,decision_hscredits,participated_openhouse,participated_instantdecision,participated_oncampusinfo,participated_virtualinfo,participated_womenwhodare,participated_collegefair,participated_sharetimeinfo,participated_challenger,participated_csipp,participated_hsinfo,participated_hscampusvisit,participated_solocampusvisit,participated_workforcedev,participated_corpotraining,participated_teenartsfest,participated_ccmsummercamp,experienced_compclass,experienced_compclub,experienced_compcompetition,experienced_compcampschool,experienced_compcampsummer,experienced_compclassap,experienced_compclassdual,experienced_familyfriendinfluence,experienced_familyfriendinfield,experienced_hsstaff,experienced_employerinfluence,experienced_currentccmstudent,experienced_atwork,experienced_other,program,motivated_compjob,motivated_bachelortransfer,motivated_hstransfer,motivated_advancecareer,motivated_changecareer,motivated_developprofession,motivated_jobdisplacement,motivated_relocation,motivated_staycurrenttech,motivated_itcert,motivated_financial,motivated_enrichment,informed_hscounselor,informed_hsteacher,informed_ccmwebsite,informed_ccmadmissions,informed_ccmcounselor,informed_employer,informed_ccmworkforcedev,informed_njworkforcedev,informed_other,gender,ethnicity,age
393,2021/10/08 8:47:31 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Man,Asian,19-20
394,2021/10/08 8:48:00 AM EST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Challenger Program,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Don't recall,Yes,Don't recall,No,No,No,No,Woman,White/Caucasian,18 and younger
395,2021/10/08 8:48:58 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,Yes,Don't recall,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Biology Environmental Track,No,No,No,No,No,No,No,No,No,No,No,No,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Prefer not to say,Choose not to reply,19-20
396,2021/10/08 8:50:09 AM EST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Man,Asian,19-20
397,2021/10/08 8:51:32 AM EST,CMP 128 Computer Science I,No,No,Yes,Yes,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,No,No,No,No,No Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Not Sure,No,Yes,Yes,No,Not Sure,Not Sure,No,No,Not Sure,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Dual Enrollment,No,No,No,No,No,No,No,No,No,No,No,No,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Woman,Asian,18 and younger
398,2021/10/08 8:51:37 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Not Sure,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Man,White/Caucasian,18 and younger
399,2021/10/08 8:51:42 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Man,Hispanic or Latino,19-20
400,2021/10/08 8:52:22 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Man,White/Caucasian,19-20
401,2021/10/08 8:52:33 AM EST,CMP 128 Computer Science I,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,mechanical engineering technology ,No,No,No,No,No,No,No,No,No,No,No,No,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Don't Recall,Man,Hispanic or Latino,18 and younger
402,2021/10/08 8:52:36 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,Not Sure,No,Yes,No,No,No,No,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Man,Black/African American,19-20
